"Date","Yield from British Government Securities, 10 year Nominal Par Yield              [a]             IUDMNPY"
"26 Jan 26","4.4887"
"23 Jan 26","4.4914"
"22 Jan 26","4.4735"
"21 Jan 26","4.4425"
"20 Jan 26","4.456"
"19 Jan 26","4.4026"
"16 Jan 26","4.4048"
"15 Jan 26","4.3924"
"14 Jan 26","4.3806"
"13 Jan 26","4.4044"
"12 Jan 26","4.3726"
"09 Jan 26","4.3988"
"08 Jan 26","4.4038"
"07 Jan 26","4.4072"
"06 Jan 26","4.4747"
"05 Jan 26","4.496"
"02 Jan 26","4.5168"
"31 Dec 25","4.4664"
"30 Dec 25","4.4816"
"29 Dec 25","4.4753"
"24 Dec 25","4.4978"
"23 Dec 25","4.492"
"22 Dec 25","4.5169"
"19 Dec 25","4.496"
"18 Dec 25","4.4614"
"17 Dec 25","4.4526"
"16 Dec 25","4.4919"
"15 Dec 25","4.4744"
"12 Dec 25","4.498"
"11 Dec 25","4.4568"
"10 Dec 25","4.4964"
"09 Dec 25","4.4901"
"08 Dec 25","4.5245"
"05 Dec 25","4.471"
"04 Dec 25","4.4503"
"03 Dec 25","4.4598"
"02 Dec 25","4.4985"
"01 Dec 25","4.4821"
"28 Nov 25","4.4703"
"27 Nov 25","4.4801"
"26 Nov 25","4.4791"
"25 Nov 25","4.5163"
"24 Nov 25","4.5529"
"21 Nov 25","4.5272"
"20 Nov 25","4.5464"
"19 Nov 25","4.5958"
"18 Nov 25","4.5483"
"17 Nov 25","4.5321"
"14 Nov 25","4.5733"
"13 Nov 25","4.4586"
"12 Nov 25","4.4344"
"11 Nov 25","4.4171"
"10 Nov 25","4.4826"
"07 Nov 25","4.4865"
"06 Nov 25","4.4667"
"05 Nov 25","4.4897"
"04 Nov 25","4.4379"
"03 Nov 25","4.4745"
"31 Oct 25","4.4234"
"30 Oct 25","4.4369"
"29 Oct 25","4.4251"
"28 Oct 25","4.4298"
"27 Oct 25","4.4367"
"24 Oct 25","4.4576"
"23 Oct 25","4.4411"
"22 Oct 25","4.4445"
"21 Oct 25","4.5105"
"20 Oct 25","4.538"
"17 Oct 25","4.5587"
"16 Oct 25","4.5398"
"15 Oct 25","4.5595"
"14 Oct 25","4.6061"
"13 Oct 25","4.6658"
"10 Oct 25","4.6814"
"09 Oct 25","4.7413"
"08 Oct 25","4.7157"
"07 Oct 25","4.7282"
"06 Oct 25","4.7172"
"03 Oct 25","4.6982"
"02 Oct 25","4.7119"
"01 Oct 25","4.6901"
"30 Sep 25","4.6909"
"29 Sep 25","4.7045"
"26 Sep 25","4.7396"
"25 Sep 25","4.7396"
"24 Sep 25","4.6806"
"23 Sep 25","4.6886"
"22 Sep 25","4.7098"
"19 Sep 25","4.7296"
"18 Sep 25","4.6692"
"17 Sep 25","4.6374"
"16 Sep 25","4.6506"
"15 Sep 25","4.6496"
"12 Sep 25","4.669"
"11 Sep 25","4.6238"
"10 Sep 25","4.6525"
"09 Sep 25","4.6409"
"08 Sep 25","4.6211"
